lat,lon,alt,vel
-23.550523,-46.633311,95.46,94.58
-23.550515,-46.633303,104.66,91.99
-23.550537,-46.633325,113.60,89.48
-23.550515,-46.633303,122.31,87.06
-23.550528,-46.633316,130.78,84.71
-23.550521,-46.633309,139.03,82.44
-23.550536,-46.633324,147.05,80.24
-23.550524,-46.633312,154.86,78.10
-23.550517,-46.633305,162.46,76.02
-23.550537,-46.633325,169.86,74.00
-23.550517,-46.633305,177.06,72.03
-23.550517,-46.633305,184.07,70.12
-23.550521,-46.633309,190.90,68.25
-23.550526,-46.633314,197.54,66.43
-23.550513,-46.633301,204.01,64.65
-23.550534,-46.633322,210.30,62.92
-23.550525,-46.633313,216.42,61.23
-23.550522,-46.633310,222.38,59.57
-23.550536,-46.633324,228.18,57.95
-23.550505,-46.633293,233.81,56.37
-23.550527,-46.633315,239.29,54.81
-23.550526,-46.633314,244.62,53.29
-23.550524,-46.633312,249.80,51.80
-23.550534,-46.633322,254.84,50.34
-23.550507,-46.633295,259.73,48.90
-23.550521,-46.633309,264.47,47.49
-23.550518,-46.633306,269.08,46.10
-23.550510,-46.633298,273.56,44.74
-23.550533,-46.633321,277.90,43.40
-23.550526,-46.633314,282.11,42.08
-23.550517,-46.633305,286.18,40.78
-23.550522,-46.633310,290.13,39.50
-23.550525,-46.633313,293.96,38.23
-23.550506,-46.633294,297.65,36.99
-23.550511,-46.633299,301.23,35.76
-23.550521,-46.633309,304.69,34.55
-23.550514,-46.633302,308.02,33.36
-23.550513,-46.633301,311.24,32.17
-23.550532,-46.633320,314.34,31.01
-23.550521,-46.633309,317.32,29.85
-23.550506,-46.633294,320.20,28.71
-23.550527,-46.633315,322.95,27.58
-23.550507,-46.633295,325.60,26.46
-23.550504,-46.633292,328.14,25.36
-23.550509,-46.633297,330.56,24.26
-23.550507,-46.633295,332.88,23.17
-23.550503,-46.633291,335.09,22.10
-23.550512,-46.633300,337.19,21.03
-23.550530,-46.633318,339.19,19.97
-23.550520,-46.633308,341.08,18.91
-23.550523,-46.633311,342.87,17.87
-23.550513,-46.633301,344.55,16.83
-23.550526,-46.633314,346.13,15.80
-23.550523,-46.633311,347.61,14.77
-23.550521,-46.633309,348.98,13.75
-23.550520,-46.633308,350.25,12.74
-23.550510,-46.633298,351.43,11.73
-23.550508,-46.633296,352.50,10.72
-23.550528,-46.633316,353.47,9.72
-23.550534,-46.633322,354.34,8.72
-23.550512,-46.633300,355.12,7.73
-23.550524,-46.633312,355.79,6.73
-23.550511,-46.633299,356.36,5.74
-23.550511,-46.633299,356.84,4.76
-23.550522,-46.633310,357.22,3.77
-23.550516,-46.633304,357.50,2.79
-23.550518,-46.633306,357.68,1.81
-23.550536,-46.633324,357.76,0.83
-23.550513,-46.633301,357.74,-0.16
-23.550524,-46.633312,357.63,-1.14
-23.550509,-46.633297,357.42,-2.12
-23.550514,-46.633302,357.11,-3.10
-23.550512,-46.633300,356.70,-4.08
-23.550531,-46.633319,356.19,-5.07
-23.550511,-46.633299,355.59,-6.05
-23.550522,-46.633310,354.88,-7.04
-23.550534,-46.633322,354.08,-8.03
-23.550505,-46.633293,353.18,-9.02
-23.550502,-46.633290,352.18,-10.02
-23.550516,-46.633304,351.08,-11.02
-23.550512,-46.633300,349.87,-12.02
-23.550546,-46.633334,348.57,-13.03
-23.550524,-46.633312,347.17,-14.04
-23.550528,-46.633316,345.66,-15.05
-23.550519,-46.633307,344.05,-16.08
-23.550500,-46.633288,342.34,-17.10
-23.550502,-46.633290,340.53,-18.14
-23.550532,-46.633320,338.61,-19.18
-23.550525,-46.633313,336.59,-20.23
-23.550524,-46.633312,334.46,-21.28
-23.550549,-46.633337,332.23,-22.34
-23.550518,-46.633306,329.89,-23.41
-23.550521,-46.633309,327.44,-24.49
-23.550517,-46.633305,324.88,-25.58
-23.550528,-46.633316,322.21,-26.68
-23.550517,-46.633305,319.43,-27.79
-23.550513,-46.633301,316.54,-28.91
-23.550522,-46.633310,313.54,-30.04
-23.550532,-46.633320,310.42,-31.18
-23.550505,-46.633293,307.18,-32.34
-23.550504,-46.633292,303.83,-33.51
-23.550531,-46.633319,300.36,-34.69
-23.550520,-46.633308,296.77,-35.89
-23.550536,-46.633324,293.06,-37.10
-23.550513,-46.633301,289.23,-38.33
-23.550532,-46.633320,285.27,-39.58
-23.550524,-46.633312,281.19,-40.84
-23.550522,-46.633310,276.98,-42.12
-23.550518,-46.633306,272.63,-43.42
-23.550528,-46.633316,268.16,-44.74
-23.550515,-46.633303,263.55,-46.08
-23.550527,-46.633315,258.81,-47.45
-23.550515,-46.633303,253.92,-48.83
-23.550523,-46.633311,248.90,-50.24
-23.550525,-46.633313,243.73,-51.68
-23.550536,-46.633324,238.42,-53.14
-23.550515,-46.633303,232.95,-54.63
-23.550534,-46.633322,227.34,-56.15
-23.550513,-46.633301,221.57,-57.70
-23.550529,-46.633317,215.64,-59.28
-23.550534,-46.633322,209.55,-60.89
-23.550514,-46.633302,203.30,-62.54
-23.550514,-46.633302,196.88,-64.22
-23.550525,-46.633313,190.28,-65.95
-23.550531,-46.633319,183.51,-67.71
-23.550524,-46.633312,176.56,-69.52
-23.550526,-46.633314,169.42,-71.37
-23.550527,-46.633315,162.09,-73.27
-23.550536,-46.633324,154.57,-75.21
-23.550539,-46.633327,146.85,-77.21
-23.550519,-46.633307,138.92,-79.27
-23.550536,-46.633324,130.79,-81.38
-23.550538,-46.633326,122.43,-83.55
-23.550546,-46.633334,113.85,-85.79
-23.550516,-46.633304,105.04,-88.10
-23.550518,-46.633306,96.00,-90.47
-23.550523,-46.633311,86.70,-92.93
-23.550505,-46.633293,77.16,-95.46
-23.550527,-46.633315,67.35,-98.08
-23.550508,-46.633296,57.27,-100.80
-23.550496,-46.633284,46.91,-103.61
-23.550512,-46.633300,36.26,-106.52
-23.550500,-46.633288,25.30,-109.54
-23.550518,-46.633306,14.03,-112.69
-23.550517,-46.633305,2.44,-115.95
-23.550516,-46.633304,-9.50,-119.35
